blockSizeMb,meanBps,stdLower,stdUpper
0.07249124666666668,5.423333333333335,5.382918814490061,5.463747852176608
0.08452763571428573,5.257142857142857,5.198345383922124,5.31594033036359
0.09511990040000001,5.138599999999999,5.077788816817956,5.199411183182042
0.11247000142857141,4.99,4.915166852264521,5.064833147735479
0.13189890666666665,4.897692307692308,4.759785750112613,5.035598865272004
0.15648050708333333,4.402916666666667,3.9984257986376837,4.807407534695651
0.1726763935185185,4.651851851851852,4.491650633166712,4.812053070536992
0.2137721756521739,4.371739130434782,4.2871732779929745,4.456304982876589
0.2321501275438597,4.327017543859649,4.228457103514638,4.4255779842046605
0.2741337784210526,4.196578947368423,4.051231715116872,4.341926179619975
0.31846976671232885,3.973150684931506,3.7013262076982456,4.244975162164767
0.37140363964912276,3.8977192982456144,3.850700398403573,3.9447381980876557
0.447939524047619,3.579047619047619,3.4778882537406206,3.6802069843546175
0.4912543257142858,3.294761904761905,3.202967621300512,3.3865561882232975
0.5764432204477611,3.089402985074627,3.0150394106374367,3.163766559511817
0.6710543879365082,2.888253968253968,2.7978509337177653,2.9786570027901704
0.7906525424390243,2.6512195121951216,2.5602471229236725,2.7421919014665708
0.9275468775999999,2.3778,2.301047282837435,2.4545527171625654
1.079164484050633,2.2091139240506332,2.1422196355853522,2.2760082125159142
1.2271965518749999,2.020625,1.93596486351489,2.1052851364851097
1.4479462741666667,1.8241666666666667,1.7434677271409225,1.904865606192411
1.6837352539285715,1.6225000000000003,1.5522820852235306,1.69271791477647
1.9809720269444444,1.468333333333333,1.4029334643950633,1.5337332022716028
2.2699946910256408,1.3535897435897437,1.2768987306156987,1.4302807565637887
2.6454278278571426,1.2678571428571426,1.1103682630822604,1.4253460226320247
3.067889768148148,1.0925925925925928,1.0425470293071386,1.142638155878047
3.611283256521739,1.027536231884058,0.9770560145269979,1.078016449241118
4.05503208,1.0670588235294118,1.0099662774000842,1.1241513696587395
4.971223768333333,1.0,1.0,1.0
5.858409868750001,1.0,1.0,1.0
