blockSizeMb,bps
0.8809133100000001,3.0
0.88740527,3.0
0.8901875300000001,3.0
0.8883326899999999,3.0
0.88546611,3.0
0.87914278,3.0
0.88074469,3.0
0.8729880699999999,3.0
0.8702058,3.0
0.86672522,3.07
0.8579000400000001,3.07
0.85839491,3.07
0.8533830400000001,3.13
0.85201074,3.13
0.84740951,3.13
0.8373998100000001,3.13
0.83465521,3.13
0.8327985699999999,3.13
0.8301347,3.13
0.83166845,3.13
0.8315877199999999,3.13
0.82842438,3.2
0.8300052099999999,3.2
0.84095164,3.13
0.84734283,3.07
0.85625048,3.07
0.85724022,3.07
0.8606218299999999,3.07
0.856168,3.07
0.85377613,3.07
0.854271,3.07
0.84732879,3.13
0.84709539,3.07
0.85600304,3.07
0.85905474,3.07
0.81883323,3.13
0.82160941,3.07
0.83698702,3.0
0.8440435,3.07
0.86309598,3.07
0.87237852,2.93
0.92566698,2.93
0.9494909300000001,2.73
0.99777882,2.67
1.04708379,2.6
1.0997825,2.53
1.1477788100000001,2.4
1.20516154,2.33
1.26837468,2.27
1.30909085,2.2
1.44319771,2.07
1.518221,2.0
1.5384992800000001,1.93
1.5882745,1.87
1.63414878,1.8
1.6226915,1.87
1.6007405,1.87
1.57212197,1.93
1.54739555,1.93
1.53758348,1.93
1.4867308000000001,2.0
1.46118861,2.07
1.4112776200000001,2.13
1.38780225,2.13
1.3806885,2.13
1.3653113000000001,2.2
1.34588142,2.2
1.327979,2.33
1.2982774,2.33
1.27424572,2.4
1.27477267,2.4
1.2717193999999998,2.33
1.279741,2.33
1.3036974,2.33
1.3075998,2.33
1.33164547,2.27
1.35611373,2.2
1.36979512,2.2
1.3477209399999999,2.2
1.37036997,2.2
1.36991009,2.2
1.37864779,2.2
1.3862609399999999,2.13
1.42325244,2.13
1.472693,2.0
1.47795565,2.07
1.4768663999999998,2.0
1.4968481299999998,2.0
1.45555881,2.07
1.4500513899999998,2.07
1.4451558999999998,2.07
1.43585448,2.07
1.427165,2.13
1.46865423,2.07
1.484075,2.0
1.541527,1.87
1.4414247199999999,1.93
1.3749338,2.0
1.3999742,2.0
1.40440055,2.07
1.4181853999999998,2.0
1.44992853,2.0
1.4849598,2.0
1.5125295,1.87
1.5640195,1.87
1.6274335,1.87
1.67602278,1.8
1.73508548,1.67
1.76059869,1.73
1.76483046,1.73
1.7951825,1.73
2.0281346399999998,1.67
2.2248947799999996,1.53
2.2352870400000002,1.53
2.2784006800000003,1.47
2.33122105,1.4
2.33306877,1.47
2.35687571,1.4
2.42589038,1.4
2.44395705,1.4
2.47298115,1.33
2.48341465,1.33
2.4938210499999998,1.4
2.53273665,1.33
2.5501890499999997,1.33
2.5209752,1.33
2.5046610499999997,1.33
2.5046610499999997,1.33
2.51376665,1.33
2.53008085,1.33
2.54487745,1.33
2.53823795,1.33
2.4808130499999996,1.4
2.4479317099999998,1.4
2.44319825,1.33
2.45859105,1.4
2.45244838,1.4
2.44775105,1.33
2.43817571,1.4
2.43962105,1.4
2.44865438,1.4
2.447751,1.33
2.465095,1.4
2.504661,1.33
2.4792412,1.33
2.48912367,1.4
2.5219237000000003,1.33
2.57654732,1.27
2.5687796,1.33
2.561571,1.33
2.58892779,1.27
2.6370517400000004,1.27
2.6847763199999997,1.27
2.75864844,1.2
2.81049983,1.2
2.88111044,1.2
2.76181022,1.2
2.25027275,1.33
2.0838878100000002,1.4
2.11681023,1.47
2.13176452,1.4
2.1646459,1.4
2.24648795,1.4
2.35157275,1.33
2.42298979,1.36
2.49048305,1.36
2.554382,1.36
2.5931872200000003,1.38
2.7082718900000002,1.38
3.88567771,1.17
4.91902564,1.0
5.22564982,1.0
