blockSizeMb,meanBps,stdLower,stdUpper
0.19791291666666666,4.788333333333333,4.759755953000863,4.816910713665803
0.23641214722222223,4.707222222222222,4.648298004008796,4.766146440435648
0.24879475842105261,4.599999999999999,4.559585481156725,4.640414518843272
0.29539604333333336,4.47,4.47,4.47
0.3422849179591837,4.378775510204082,4.329335620225559,4.428215400182604
0.37030601,4.303333333333334,4.246105717622036,4.360560949044632
0.42862686600000005,4.0920000000000005,4.034380558836449,4.149619441163552
0.47737310079999995,3.9408000000000003,3.893989919104221,3.9876100808957795
0.543819426,3.692,3.6343805588364484,3.749619441163552
0.6507400005882353,3.4241176470588237,3.363358926669181,3.4848763674484666
0.6800669317857144,3.359285714285714,3.304114024589681,3.414457403981747
0.8359141576666667,3.1133333333333324,3.062050928383181,3.1646157382834836
0.8782389496153847,2.9976923076923083,2.932251788604655,3.063132826779962
1.0482150366666667,2.5999999999999996,2.5299999999999994,2.67
1.176470175,2.365,2.315502525316942,2.4144974746830585
1.3477739089285712,2.2085714285714286,2.094628158550471,2.322514698592386
1.495526682962963,1.9885185185185184,1.909695264252373,2.0673417727846637
1.7019992112500002,1.775,1.70288897449072,1.8471110255092797
2.0281346399999998,1.67,nan,nan
2.238860764615385,1.4253846153846155,1.3608845656927244,1.4898846650765065
2.5005039444736843,1.3510526315789477,1.3114744862524899,1.3906307769054056
2.82459142,1.4400000000000002,1.2656030799747722,1.6143969200252282
3.10167229,1.56,nan,nan
3.7851089399999998,1.3733333333333333,1.1954757123739452,1.5511909542927214
4.968593019999999,1.1333333333333335,0.9869320582933485,1.2797346083733185
5.49835794,1.0,1.0,1.0
6.094156617083334,1.0,1.0,1.0
7.10860196,1.0,1.0,1.0
8.0825195,1.0,1.0,1.0
