blockSizeMb,meanBps,stdLower,stdUpper
0.006582793399999999,6.1646,6.106388212148243,6.222811787851757
0.007435259999999999,6.023333333333333,5.987185488768731,6.059481177897936
0.008239366,5.918,5.891167184270003,5.944832815729997
0.008959791923076926,5.893846153846155,5.814729614186851,5.972962693505459
0.010466408965517243,6.047931034482758,5.908740022089592,6.187122046875924
0.010999347714285715,5.9871428571428575,5.8972876982490465,6.076998016036669
0.012743820338983051,6.025932203389831,5.951096322173163,6.100768084606499
0.01374506,6.035,5.970192593015922,6.099807406984079
0.015083705714285713,5.939642857142856,5.878029272875799,6.001256441409914
0.017695864736842103,5.65421052631579,5.570060145747978,5.738360906883602
0.018891001969696973,5.6019696969696975,5.466513547982771,5.737425845956624
0.02069925081632653,5.646938775510205,5.574103227823634,5.719774323196776
0.02303114092307692,5.605846153846154,5.543049549944841,5.668642757747468
0.02527416036363636,5.539636363636364,5.492931473085729,5.5863412541869994
0.02816426076923077,5.445538461538462,5.402020118809836,5.489056804267087
0.032694289999999994,5.121445783132528,4.96308425995002,5.279807306315036
0.035354107051282044,5.218461538461537,5.084383862553789,5.352539214369285
0.03958884514018691,5.088878504672899,4.841395602260587,5.336361407085212
0.04413490366666666,4.975,4.826303415784681,5.123696584215319
0.04722877474576272,4.973050847457627,4.865247478607316,5.080854216307939
0.05385962701388888,4.7612499999999995,4.687652388682727,4.834847611317272
0.05919632292307692,4.656615384615384,4.5698816519353285,4.74334911729544
0.06598807898876405,4.418314606741572,4.313648080497329,4.522981132985815
0.0753367368,4.1732,4.092591894534937,4.253808105465062
0.0820953034065934,4.009065934065934,3.821889455034208,4.196242413097659
0.09152375423076924,3.833384615384616,3.673784563675148,3.992984667094084
0.1007522054054054,3.809324324324324,3.681455013053611,3.937193635595037
0.11239288875816991,3.699738562091503,3.5631786286883385,3.8362984954946677
0.12420591407960199,3.607562189054727,3.447307618563948,3.7678167595455063
0.13602819666666668,3.5172499999999998,3.362558860177786,3.6719411398222137
